LECROYWS4024HD,18501,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,17-Oct-2025 21:19:14,0                 
Time,Ampl
-1.0000206e-005,0.2952774
-9.999806e-006,0.2952774
-9.999406e-006,0.2905718
-9.999006e-006,0.2858662
-9.998606e-006,0.2888072
-9.998206e-006,0.2929246
-9.997806e-006,0.2917482
-9.997406e-006,0.2893954
-9.997006e-006,0.2888072
-9.996606e-006,0.2870426
-9.996206e-006,0.2893954
-9.995806e-006,0.2958656
-9.995406e-006,0.2982185
-9.995006e-006,0.2946892
-9.994606e-006,0.2952774
-9.994206e-006,0.2976303
-9.993806e-006,0.2935128
-9.993406e-006,0.288219
-9.993006e-006,0.2870426
-9.992606e-006,0.2864544
-9.992206e-006,0.2888072
-9.991806e-006,0.2952774
-9.991406e-006,0.2988067
-9.991006e-006,0.2976303
-9.990606e-006,0.2946892
-9.990206e-006,0.29116
-9.989806e-006,0.2888072
-9.989406e-006,0.2958656
-9.989006e-006,0.3041005
-9.988606e-006,0.3058651
-9.988206e-006,0.3041005
-9.987806e-006,0.2982185
-9.987406e-006,0.2905718
-9.987006e-006,0.2876308
-9.986606e-006,0.2923364
-9.986206e-006,0.2976303
-9.985806e-006,0.2958656
-9.985406e-006,0.294101
-9.985006e-006,0.2982185
-9.984606e-006,0.2952774
-9.984206e-006,0.2876308
-9.983806e-006,0.285278
-9.983406e-006,0.2864544
-9.983006e-006,0.2888072
-9.982606e-006,0.2929246
-9.982206e-006,0.2958656
-9.981806e-006,0.297042
-9.981406e-006,0.3017477
-9.981006e-006,0.3046887
-9.980606e-006,0.2976303
-9.980206e-006,0.2964538
-9.979806e-006,0.3052769
-9.979406e-006,0.3099825
-9.979006e-006,0.3082179
-9.978606e-006,0.3058651
-9.978206e-006,0.3029241
-9.977806e-006,0.2999831
-9.977406e-006,0.297042
-9.977006e-006,0.2982185
-9.976606e-006,0.3005713
-9.976206e-006,0.2982185
-9.975806e-006,0.2946892
-9.975406e-006,0.297042
-9.975006e-006,0.3017477
-9.974606e-006,0.3017477
-9.974206e-006,0.2993949
-9.973806e-006,0.2982185
-9.973406e-006,0.2952774
-9.973006e-006,0.2923364
-9.972606e-006,0.2964538
-9.972206e-006,0.2993949
-9.971806e-006,0.294101
-9.971406e-006,0.2917482
-9.971006e-006,0.2976303
-9.970606e-006,0.3041005
-9.970206e-006,0.3058651
-9.969806e-006,0.3058651
-9.969406e-006,0.3046887
-9.969006e-006,0.3011595
-9.968606e-006,0.3023359
-9.968206e-006,0.3041005
-9.967806e-006,0.2982185
-9.967406e-006,0.29116
-9.967006e-006,0.2958656
-9.966606e-006,0.3070415
-9.966206e-006,0.3070415
-9.965806e-006,0.3017477
-9.965406e-006,0.3058651
