LECROYWS4024HD,18500,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,31-Oct-2025 16:51:16,0                 
Time,Ampl
-2.5500268e-005,0.799979
-2.5499868e-005,0.799979
-2.5499468e-005,0.802332
-2.5499068e-005,0.799979
-2.5498668e-005,0.797626
-2.5498268e-005,0.797626
-2.5497868e-005,0.797626
-2.5497468e-005,0.799979
-2.5497068e-005,0.799979
-2.5496668e-005,0.799979
-2.5496268e-005,0.799979
-2.5495868e-005,0.797626
-2.5495468e-005,0.795273
-2.5495068e-005,0.797626
-2.5494668e-005,0.802332
-2.5494268e-005,0.802332
-2.5493868e-005,0.802332
-2.5493468e-005,0.804685
-2.5493068e-005,0.802332
-2.5492668e-005,0.799979
-2.5492268e-005,0.799979
-2.5491868e-005,0.799979
-2.5491468e-005,0.799979
-2.5491068e-005,0.797626
-2.5490668e-005,0.797626
-2.5490268e-005,0.797626
-2.5489868e-005,0.797626
-2.5489468e-005,0.799979
-2.5489068e-005,0.802332
-2.5488668e-005,0.802332
-2.5488268e-005,0.799979
-2.5487868e-005,0.797626
-2.5487468e-005,0.799979
-2.5487068e-005,0.804685
-2.5486668e-005,0.807038
-2.5486268e-005,0.807038
-2.5485868e-005,0.799979
-2.5485468e-005,0.797626
-2.5485068e-005,0.799979
-2.5484668e-005,0.804685
-2.5484268e-005,0.802332
-2.5483868e-005,0.802332
-2.5483468e-005,0.802332
-2.5483068e-005,0.802332
-2.5482668e-005,0.799979
-2.5482268e-005,0.795273
-2.5481868e-005,0.795273
-2.5481468e-005,0.79292
-2.5481068e-005,0.795273
-2.5480668e-005,0.797626
-2.5480268e-005,0.799979
-2.5479868e-005,0.802332
-2.5479468e-005,0.804685
-2.5479068e-005,0.802332
-2.5478668e-005,0.797626
-2.5478268e-005,0.797626
-2.5477868e-005,0.802332
-2.5477468e-005,0.802332
-2.5477068e-005,0.802332
-2.5476668e-005,0.799979
-2.5476268e-005,0.797626
-2.5475868e-005,0.797626
-2.5475468e-005,0.797626
-2.5475068e-005,0.797626
-2.5474668e-005,0.797626
-2.5474268e-005,0.799979
-2.5473868e-005,0.799979
-2.5473468e-005,0.799979
-2.5473068e-005,0.797626
-2.5472668e-005,0.797626
-2.5472268e-005,0.795273
-2.5471868e-005,0.797626
-2.5471468e-005,0.802332
-2.5471068e-005,0.804685
-2.5470668e-005,0.804685
-2.5470268e-005,0.804685
-2.5469868e-005,0.802332
-2.5469468e-005,0.802332
-2.5469068e-005,0.802332
-2.5468668e-005,0.799979
-2.5468268e-005,0.802332
-2.5467868e-005,0.802332
-2.5467468e-005,0.802332
-2.5467068e-005,0.804685
-2.5466668e-005,0.804685
-2.5466268e-005,0.804685
-2.5465868e-005,0.802332
-2.5465468e-005,0.797626
-2.5465068e-005,0.799979
-2.5464668e-005,0.804685
-2.5464268e-005,0.802332
-2.5463868e-005,0.797626
-2.5463468e-005,0.79292
-2.5463068e-005,0.79292
-2.5462668e-005,0.795273
-2.5462268e-005,0.799979
-2.5461868e-005,0.802332
-2.5461468e-005,0.802332
-2.5461068e-005,0.802332
-2.5460668e-005,0.802332
-2.5460268e-005,0.804685
-2.5459868e-005,0.804685
-2.5459468e-005,0.802332
-2.5459068e-005,0.802332
-2.5458668e-005,0.799979
-2.5458268e-005,0.802332
-2.5457868e-005,0.807038
-2.5457468e-005,0.807038
-2.5457068e-005,0.802332
-2.5456668e-005,0.799979
-2.5456268e-005,0.799979
-2.5455868e-005,0.802332
-2.5455468e-005,0.804685
-2.5455068e-005,0.804685
-2.5454668e-005,0.802332
-2.5454268e-005,0.804685
-2.5453868e-005,0.804685
-2.5453468e-005,0.802332
-2.5453068e-005,0.802332
-2.5452668e-005,0.802332
-2.5452268e-005,0.804685
-2.5451868e-005,0.804685
-2.5451468e-005,0.804685
-2.5451068e-005,0.804685
-2.5450668e-005,0.802332
-2.5450268e-005,0.802332
-2.5449868e-005,0.802332
-2.5449468e-005,0.802332
-2.5449068e-005,0.802332
-2.5448668e-005,0.804685
-2.5448268e-005,0.804685
-2.5447868e-005,0.799979
-2.5447468e-005,0.797626
-2.5447068e-005,0.797626
-2.5446668e-005,0.799979
-2.5446268e-005,0.799979
-2.5445868e-005,0.799979
-2.5445468e-005,0.799979
-2.5445068e-005,0.799979
-2.5444668e-005,0.799979
-2.5444268e-005,0.799979
-2.5443868e-005,0.802332
-2.5443468e-005,0.802332
-2.5443068e-005,0.799979
-2.5442668e-005,0.802332
-2.5442268e-005,0.807038
-2.5441868e-005,0.811743
-2.5441468e-005,0.80939
-2.5441068e-005,0.80939
-2.5440668e-005,0.80939
-2.5440268e-005,0.807038
-2.5439868e-005,0.802332
-2.5439468e-005,0.797626
-2.5439068e-005,0.797626
-2.5438668e-005,0.799979
-2.5438268e-005,0.802332
-2.5437868e-005,0.802332
-2.5437468e-005,0.799979
-2.5437068e-005,0.799979
-2.5436668e-005,0.802332
-2.5436268e-005,0.802332
-2.5435868e-005,0.799979
-2.5435468e-005,0.802332
-2.5435068e-005,0.807038
