LECROYWS4024HD,18501,Waveform
Segments,1,SegmentSize,49897
Segment,TrigTime,TimeSinceSegment1
#1,17-Oct-2025 21:19:14,0                 
Time,Ampl
-9.979205e-006,-0.0116217526
-9.978805e-006,-0.0115879299
-9.978405e-006,-0.0115555778
-9.978005e-006,-0.0115232257
-9.977605e-006,-0.0114923442
-9.977205e-006,-0.0114614627
-9.976805e-006,-0.0114335222
-9.976405e-006,-0.0114041112
-9.976005e-006,-0.0113761708
-9.975605e-006,-0.0113497009
-9.975205e-006,-0.0113247016
-9.974805e-006,-0.0112997022
-9.974405e-006,-0.0112747029
-9.974005e-006,-0.0112526446
-9.973605e-006,-0.0112305864
-9.973205e-006,-0.0112085282
-9.972805e-006,-0.011189411
-9.972405e-006,-0.0111702939
-9.972005e-006,-0.0111526473
-9.971605e-006,-0.0111364712
-9.971205e-006,-0.0111232363
-9.970805e-006,-0.0111100013
-9.970405e-006,-0.0110997075
-9.970005e-006,-0.0110908842
-9.969605e-006,-0.0110835314
-9.969205e-006,-0.0110791198
-9.968805e-006,-0.0110761787
-9.968405e-006,-0.0110761787
-9.968005e-006,-0.0110776492
-9.967605e-006,-0.0110835314
-9.967205e-006,-0.0110908842
-9.966805e-006,-0.0111026486
-9.966405e-006,-0.0111158835
-9.966005e-006,-0.0111335301
-9.965605e-006,-0.0111541178
-9.965205e-006,-0.0111776466
-9.964805e-006,-0.0112055871
-9.964405e-006,-0.0112364686
-9.964005e-006,-0.0112702912
-9.963605e-006,-0.0113085255
-9.963205e-006,-0.0113497009
-9.962805e-006,-0.0113938174
-9.962405e-006,-0.0114423455
-9.962005e-006,-0.0114938148
-9.961605e-006,-0.0115496956
-9.961205e-006,-0.0116085176
-9.960805e-006,-0.0116702807
-9.960405e-006,-0.0117364554
-9.960005e-006,-0.0118055712
-9.959605e-006,-0.0118761576
-9.959205e-006,-0.0119511556
-9.958805e-006,-0.0120290948
-9.958405e-006,-0.0121085044
-9.958005e-006,-0.0121908552
-9.957605e-006,-0.0122746765
-9.957205e-006,-0.0123599684
-9.956805e-006,-0.0124482014
-9.956405e-006,-0.0125379049
-9.956005e-006,-0.0126276084
-9.955605e-006,-0.0127173119
-9.955205e-006,-0.012808486
-9.954805e-006,-0.0129011306
-9.954405e-006,-0.0129923047
-9.954005e-006,-0.0130820082
-9.953605e-006,-0.0131731823
-9.953205e-006,-0.0132614152
-9.952805e-006,-0.0133496482
-9.952405e-006,-0.0134349401
-9.952005e-006,-0.0135187614
-9.951605e-006,-0.0136011122
-9.951205e-006,-0.0136805218
-9.950805e-006,-0.0137569904
-9.950405e-006,-0.0138305179
-9.950005e-006,-0.0139011043
-9.949605e-006,-0.0139687495
-9.949205e-006,-0.0140334537
-9.948805e-006,-0.0140922757
-9.948405e-006,-0.0141481566
-9.948005e-006,-0.0141996258
-9.947605e-006,-0.0142466834
-9.947205e-006,-0.0142907999
-9.946805e-006,-0.0143290342
-9.946405e-006,-0.0143613862
-9.946005e-006,-0.0143907972
-9.945605e-006,-0.014414326
-9.945205e-006,-0.0144334432
-9.944805e-006,-0.0144481487
-9.944405e-006,-0.014456972
-9.944005e-006,-0.0144613836
-9.943605e-006,-0.0144613836
-9.943205e-006,-0.0144555014
-9.942805e-006,-0.0144452076
-9.942405e-006,-0.0144319726
-9.942005e-006,-0.0144128555
-9.941605e-006,-0.0143893267
-9.941205e-006,-0.0143628568
-9.940805e-006,-0.0143319753
-9.940405e-006,-0.0142966821
-9.940005e-006,-0.0142569772
-9.939605e-006,-0.0142158018
-9.939205e-006,-0.0141702148
-9.938805e-006,-0.0141202161
-9.938405e-006,-0.0140687469
-9.938005e-006,-0.0140143366
-9.937605e-006,-0.0139569851
-9.937205e-006,-0.0138966926
-9.936805e-006,-0.0138349295
-9.936405e-006,-0.0137702253
-9.936005e-006,-0.0137040506
-9.935605e-006,-0.0136378759
-9.935205e-006,-0.0135687601
-9.934805e-006,-0.0134981737
-9.934405e-006,-0.0134275873
-9.934005e-006,-0.0133555304
